string	string	number	number	number	string	string	string	string	number	number	number	any
"""Item30"""	"""无目标"""	100	100	5	"""消耗品"""	"""ReplaceableTextures\\CommandButtons\\BTNHelmutPurple.blp"""	"""Units\\Human\\Phoenix\\PhoenixEgg.mdl"""	""""""	0	0	0	
"""Item31"""	"""无目标"""	100	100	5	"""消耗品"""	"""ReplaceableTextures\\CommandButtons\\BTNHelmutPurple.blp"""	"""Units\\Human\\Phoenix\\PhoenixEgg.mdl"""	""""""	0	0	0	
"""Item32"""	"""无目标"""	100	100	5	"""消耗品"""	"""ReplaceableTextures\\CommandButtons\\BTNHelmutPurple.blp"""	"""Units\\Human\\Phoenix\\PhoenixEgg.mdl"""	""""""	0	0	0	
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
